congressional_district,County Name,Grade Band,Offers CS?,School District Name,School Id,School Name,School Type (group),Grades Hi,Grades Lo,Gradespan,School Type,School Year,Stage El,Stage Hi,Stage Mi,State,State name,Teaches Cs,Students - Asian,Students - Black,Students - Native American,Students - Hispanic/Latinx,Students - Pacific Islander,Students - Two or More Races,Students - White,urban_rural,Latitude,Longitude,num_students
3,Essex County,12-Sep,Yes,HAVERHILL,2.51E+11,HAVERHILL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,4.571428571,13,0.142857143,90.85714286,0.428571429,3.142857143,149.5714286,Urban,42.78729,-71.107005,1832
8,Norfolk County,Mixed,No,TEC CONNECTIONS ACADEMY COMMONWEALTH VIRTUAL SCHOOL DISTRICT,2.50E+11,TEC CONNECTIONS ACADEMY COMMONWEALTH VIRTUAL SCHOOL,public & charter,12,KG,KG - 12,public,2019,1,1,1,MA,Massachusetts,No,8.285714286,24,0.571428571,54.14285714,1.142857143,21.85714286,201.8571429,Urban,42.164095,-71.220644,2183
7,Suffolk County,12-Sep,Yes,EDWARD M. KENNEDY ACADEMY FOR HEALTH CAREERS (HORACE MANN CH,2.50E+11,EDWARD M. KENNEDY ACADEMY FOR HEALTH CAREERS (HORACE MANN CH,public & charter,12,9,12-Sep,charter,2019,0,1,0,MA,Massachusetts,Yes,0.428571429,21.42857143,0.142857143,31.57142857,0,0.714285714,1.142857143,Urban,42.341482,-71.091491,388
5,Middlesex County,12-Sep,Yes,LINCOLN-SUDBURY,2.51E+11,LINCOLN-SUDBURY REGIONAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,11.14285714,11,0.142857143,10.42857143,0,13.57142857,169.7142857,Rural,42.3982,-71.400657,1512
2,Worcester County,12-Sep,Yes,DOUGLAS,2.50E+11,DOUGLAS HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1,0.714285714,0,2.428571429,0.428571429,0.857142857,46.85714286,Urban,42.06759,-71.69996,366
5,Middlesex County,12-Sep,Yes,ASHLAND,2.50E+11,ASHLAND HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,15.57142857,3.571428571,0.571428571,14.14285714,0,2.857142857,81,Urban,42.262805,-71.446098,825
8,Norfolk County,12-Sep,No,NORFOLK COUNTY AGRICULTURAL,2.51E+11,NORFOLK COUNTY AGRICULTURAL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,No,1.142857143,1,0.142857143,1.571428571,0.285714286,3.428571429,71.14285714,Urban,42.163593,-71.238064,551
2,Worcester County,Mixed,Yes,OXFORD,2.51E+11,OXFORD HIGH,public & charter,12,8,12-Aug,public,2019,0,1,1,MA,Massachusetts,Yes,1.571428571,1.571428571,0.142857143,9,0.285714286,3.428571429,60.71428571,Urban,42.13696,-71.872075,538
6,Essex County,Mixed,Yes,SALEM ACADEMY CHARTER (DISTRICT),2.50E+11,SALEM ACADEMY CHARTER SCHOOL,public & charter,12,6,12-Jun,charter,2019,0,1,1,MA,Massachusetts,Yes,4,7.142857143,0,30.28571429,0,1.428571429,27.71428571,Urban,42.517675,-70.887931,495
7,Suffolk County,Mixed,Yes,BOSTON,2.50E+11,NEW MISSION HIGH SCHOOL,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,Yes,1.142857143,32.71428571,0.142857143,27.71428571,0,0.857142857,1.285714286,Urban,42.262966,-71.117887,447
8,Plymouth County,Mixed,Yes,WEST BRIDGEWATER,2.51E+11,WEST BRIDGEWATER JUNIOR/SENIOR,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,Yes,1.142857143,5.285714286,0.285714286,4,0,2.714285714,76.71428571,Urban,42.020267,-71.01689,631
